"","Kingdom","Phylum","Class","Order","Family","Genus","Scientific Name"
"1","Animalia","Chordata","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus","Orycteropus afer"
"2","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"3","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Addax","Addax nasomaculatus"
"4","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Pygoscelis","Pygoscelis adeliae"
"5","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"6","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"7","Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Pyxicephalus","Pyxicephalus adspersus"
"8","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana africana"
"9","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Civettictis","Civettictis civetta"
"10","Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis"
"11","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta cyclotis"
"12","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Psittacus","Psittacus erithacus"
"13","Animalia","Chordata","Mammalia","Carnivora","Nandiniidae","Nandinia","Nandinia binotata"
"14","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus demersus"
"15","Animalia","Chordata","Amphibia","Anura","Bufonidae","Nectophryne","Nectophryne afra"
"16","Animalia","Chordata","Mammalia","Carnivora","Canidae","Lycaon","Lycaon pictus"
"17","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"18","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"19","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"20","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"21","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"22","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"23","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"24","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"25","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"26","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"27","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"28","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"29","Animalia","Chordata","Actinopterygii","Scombriformes","Scombridae","Thunnus","Thunnus alalunga"
"30","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"31","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Geochelone","Geochelone gigantea"
"32","Animalia","Chordata","Reptilia","Crocodilia","Alligatoridae","Alligator","Alligator mississippiensis"
"33","Animalia","Chordata","Actinopterygii","Lepisosteiformes","Lepisosteidae","Atractosteus","Atractosteus spatula"
"34","Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Vicugna","Vicugna pacos"
"35","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"36","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"37","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"38","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"39","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"40","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"41","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"42","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"43","Animalia","Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","Periplaneta americana"
"44","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"45","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"46","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"47","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"48","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"49","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"50","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"51","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus Linnaeus","Turdus migratorius"
"52","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"53","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus"
"54","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"55","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera pardus orientalis"
"56","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"57","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"58","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"59","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"60","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"61","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"62","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Eulagisca","Eulagisca gigantea"
"63","Animalia","Chordata","Mammalia","Xenarthra","Myrmecophagidae","Tamandua","Myrmecophaga Tridactyla"
"64","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"65","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"66","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"67","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"68","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes lagopus"
"69","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus Arcticus"
"70","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canus Lupus Arcticus"
"71","Animalia","Arthropoda","Arachnida","Scorpiones","Buthidae","Centruriodes","Centruroides sculpturatus"
"72","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypodidae"
"73","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Mythimna","Mythimna unipuncta"
