"ID","Species","Owner","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner.1","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","unit_of_measurement","altitude_low_meters","altitude_high_meters"
1,"Arabica","metad plc","Ethiopia","metad plc","metad plc","metad agricultural developmet plc","1950-2200","guji-hambela","METAD PLC","300","60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","metad plc","NULL","Washed / Wet","8.67","8.83","8.67","8.75","8.5","8.42","10","10","10","8.75","90.58","0.12","0","0","Green","0","April 3rd, 2016","METAD Agricultural Development plc","m","1950","2200"
2,"Arabica","metad plc","Ethiopia","metad plc","metad plc","metad agricultural developmet plc","1950-2200","guji-hambela","METAD PLC","300","60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","metad plc","Other","Washed / Wet","8.75","8.67","8.5","8.58","8.42","8.42","10","10","10","8.58","89.92","0.12","0","0","Green","1","April 3rd, 2016","METAD Agricultural Development plc","m","1950","2200"
3,"Arabica","grounds for health admin","Guatemala","san marcos barrancas ","san cristobal cuch","NULL","1600 - 1800 m","NULL","NULL","5","1","Specialty Coffee Association","NULL","May 31st, 2010","Grounds for Health Admin","Bourbon","NULL","8.42","8.5","8.42","8.42","8.33","8.42","10","10","10","9.25","89.75","0","0","0","NULL","0","May 31st, 2011","Specialty Coffee Association","m","1600","1800"
4,"Arabica","yidnekachew dabessa","Ethiopia","yidnekachew dabessa coffee plantation","wolensu","yidnekachew debessa coffee plantation","1800-2200","oromia","Yidnekachew Dabessa Coffee Plantation","320","60 kg","METAD Agricultural Development plc","2014","March 26th, 2015","Yidnekachew Dabessa","NULL","Natural / Dry","8.17","8.58","8.42","8.42","8.5","8.25","10","10","10","8.67","89","0.11","0","0","Green","2","March 25th, 2016","METAD Agricultural Development plc","m","1800","2200"
5,"Arabica","metad plc","Ethiopia","metad plc","metad plc","metad agricultural developmet plc","1950-2200","guji-hambela","METAD PLC","300","60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","metad plc","Other","Washed / Wet","8.25","8.5","8.25","8.5","8.42","8.33","10","10","10","8.58","88.83","0.12","0","0","Green","2","April 3rd, 2016","METAD Agricultural Development plc","m","1950","2200"
6,"Arabica","ji-ae ahn","Brazil","NULL","NULL","NULL","NULL","NULL","NULL","100","30 kg","Specialty Coffee Institute of Asia","2013","September 3rd, 2013","Ji-Ae Ahn","NULL","Natural / Dry","8.58","8.42","8.42","8.5","8.25","8.33","10","10","10","8.33","88.83","0.11","0","0","Bluish-Green","1","September 3rd, 2014","Specialty Coffee Institute of Asia","m","NULL","NULL"
7,"Arabica","hugo valdivia","Peru","NULL","hvc","richmond investment-coffee department","NULL","NULL","HVC","100","69 kg","Specialty Coffee Institute of Asia","2012","September 17th, 2012","Hugo Valdivia","Other","Washed / Wet","8.42","8.5","8.33","8.5","8.25","8.25","10","10","10","8.5","88.75","0.11","0","0","Bluish-Green","0","September 17th, 2013","Specialty Coffee Institute of Asia","m","NULL","NULL"
8,"Arabica","ethiopia commodity exchange","Ethiopia","aolme","c.p.w.e","NULL","1570-1700","oromia","Bazen Agricultural & Industrial Dev't Plc","300","60 kg","Ethiopia Commodity Exchange","March 2010","September 2nd, 2010","Ethiopia Commodity Exchange","NULL","NULL","8.25","8.33","8.5","8.42","8.33","8.5","10","10","9.33","9","88.67","0.03","0","0","NULL","0","September 2nd, 2011","Ethiopia Commodity Exchange","m","1570","1700"
9,"Arabica","ethiopia commodity exchange","Ethiopia","aolme","c.p.w.e","NULL","1570-1700","oromiya","Bazen Agricultural & Industrial Dev't Plc","300","60 kg","Ethiopia Commodity Exchange","March 2010","September 2nd, 2010","Ethiopia Commodity Exchange","NULL","NULL","8.67","8.67","8.58","8.42","8.33","8.42","9.33","10","9.33","8.67","88.42","0.03","0","0","NULL","0","September 2nd, 2011","Ethiopia Commodity Exchange","m","1570","1700"
10,"Arabica","diamond enterprise plc","Ethiopia","tulla coffee farm","tulla coffee farm","diamond enterprise plc","1795-1850","snnp/kaffa zone,gimbowereda","Diamond Enterprise Plc","50","60 kg","METAD Agricultural Development plc","2014","March 30th, 2015","Diamond Enterprise Plc","Other","Natural / Dry","8.08","8.58","8.5","8.5","7.67","8.42","10","10","10","8.5","88.25","0.1","0","0","Green","4","March 29th, 2016","METAD Agricultural Development plc","m","1795","1850"
11,"Arabica","mohammed lalo","Ethiopia","fahem coffee plantation","NULL","fahem coffee plantation","1855-1955","oromia","Fahem Coffee Plantation","300","60 kg","METAD Agricultural Development plc","2014","March 27th, 2015","Mohammed Lalo","NULL","Natural / Dry","8.17","8.67","8.25","8.5","7.75","8.17","10","10","10","8.58","88.08","0.1","0","0","NULL","1","March 26th, 2016","METAD Agricultural Development plc","m","1855","1955"
12,"Arabica","cqi q coffee sample representative","United States","el filo","NULL","coffee quality institute","meters above sea level: 1.872","antioquia","Alfredo De JesÃºs LÃ³pez PÃ©rez","10","1 kg","AlmacafÃ©","2014","March 13th, 2015","CQI Q Coffee Sample Representative","Other","Washed / Wet","8.25","8.42","8.17","8.33","8.08","8.17","10","10","10","8.5","87.92","0","0","0","NULL","0","March 12th, 2016","AlmacafÃ©","m","1872","1872"
13,"Arabica","cqi q coffee sample representative","United States","los cedros","NULL","coffee quality institute","meters above sea level: 1.943","antioquia","Jorge Walter Restrepo","10","1 kg","AlmacafÃ©","2014","March 13th, 2015","CQI Q Coffee Sample Representative","Other","Washed / Wet","8.08","8.67","8.33","8.42","8","8.08","10","10","10","8.33","87.92","0","0","0","NULL","0","March 12th, 2016","AlmacafÃ©","m","1943","1943"
14,"Arabica","grounds for health admin","United States (Hawaii)","arianna farms","NULL","NULL","2000 ft","kona","Robert, Sharon, Arianna Wood","1","1","Specialty Coffee Association","Sept 2009 - April 2010","May 31st, 2010","Grounds for Health Admin","NULL","NULL","8.33","8.42","8.08","8.25","8.25","8","10","10","10","8.58","87.92","0","0","0","NULL","2","May 31st, 2011","Specialty Coffee Association","ft","609.6","609.6"
15,"Arabica","ethiopia commodity exchange","Ethiopia","aolme","c.p.w.e","NULL","1570-1700","oromiya","Bazen Agricultural & Industrial Dev't Plc","300","60 kg","Ethiopia Commodity Exchange","March 2010","August 31st, 2010","Ethiopia Commodity Exchange","NULL","NULL","8.25","8.33","8.5","8.25","8.58","8.75","9.33","10","9.33","8.5","87.83","0.05","0","0","NULL","2","August 31st, 2011","Ethiopia Commodity Exchange","m","1570","1700"
16,"Arabica","cqi q coffee sample representative","United States","el Ã¡guila","NULL","coffee quality institute","meters above sea level: 2.080","antioquia","MarÃ­a Leticia Diosa","10","1 kg","AlmacafÃ©","2014","March 13th, 2015","CQI Q Coffee Sample Representative","Other","Washed / Wet","8","8.5","8.58","8.17","8.17","8","10","10","10","8.17","87.58","0","0","0","NULL","0","March 12th, 2016","AlmacafÃ©","m","2080","2080"
17,"Arabica","grounds for health admin","Indonesia","toarco jaya","NULL","NULL","1200-1800m","sulawesi","P.T. Toarco Jaya","1","2 kg,lbs","Specialty Coffee Association","May-August","May 31st, 2010","Grounds for Health Admin","NULL","NULL","8.33","8.25","7.83","7.75","8.5","8.42","10","10","10","8.33","87.42","0.03","0","0","NULL","0","May 31st, 2011","Specialty Coffee Association","m","1200","1800"
18,"Arabica","ethiopia commodity exchange","Ethiopia","NULL","NULL","NULL","NULL","yirgacheffe","Green Gold Ethiopia | Phone: 0114342032","150","6","Ethiopia Commodity Exchange","2009/2010","June 16th, 2010","Ethiopia Commodity Exchange","NULL","NULL","8.17","8.33","8.25","8.33","8.42","8.33","9.33","10","9.33","8.83","87.33","0.05","0","0","NULL","2","June 16th, 2011","Ethiopia Commodity Exchange","m","NULL","NULL"
19,"Arabica","yunnan coffee exchange","China","echo coffee","echo coffee mill","yunnan coffee exchange","1450","yunnan","Echo Coffee","3","60 kg","Yunnan Coffee Exchange","2015","April 7th, 2016","Yunnan Coffee Exchange","Catimor","Washed / Wet","8.42","8.25","8.08","8.17","7.92","8","10","10","10","8.42","87.25","0.1","0","0","Green","0","April 7th, 2017","Yunnan Coffee Exchange","m","1450","1450"
20,"Arabica","essencecoffee","Ethiopia","drima zede","drima zede","essence coffee","1700-2000m","gedio","LevelUp","250","60 kg","Blossom Valley International","2014","March 25th, 2015","EssenceCoffee","Ethiopian Yirgacheffe","Natural / Dry","8.17","8.17","8","8.17","8.08","8.33","10","10","10","8.33","87.25","0","0","0","NULL","8","March 24th, 2016","Blossom Valley International","m","1700","2000"
21,"Arabica","cqi q coffee sample representative","United States","el rodeo","NULL","coffee quality institute","meters above sea level: 2.019","antioquia","NicolÃ¡s Rueda Urrego","10","1 kg","AlmacafÃ©","2014","March 13th, 2015","CQI Q Coffee Sample Representative","Other","Washed / Wet","8","8.25","8.08","8.5","8.25","8","10","10","10","8.17","87.25","0","0","0","None","0","March 12th, 2016","AlmacafÃ©","m","2019","2019"
22,"Arabica","the coffee source inc.","Costa Rica","several","cafe altura de san ramon","the coffee source inc.","1300 m","san ramon","SEVERAL","250","3 lbs","Specialty Coffee Association","2014","April 2nd, 2014","The Coffee Source Inc.","Caturra","Washed / Wet","8.08","8.25","8","8.17","8","8.33","10","10","10","8.33","87.17","0.11","0","0","Green","2","April 2nd, 2015","Specialty Coffee Association","m","1300","1300"
23,"Arabica","roberto licona franco","Mexico","la herradura","la herradura","NULL","1320","xalapa","ROBERTO LICONA FRANCO","14","1 kg","AMECAFE","2012","July 26th, 2012","ROBERTO LICONA FRANCO","Other","Washed / Wet","8.17","8.25","8.17","8","7.83","8.17","10","10","10","8.58","87.17","0.13","0","0","Green","0","July 26th, 2013","AMECAFE","m","1320","1320"
24,"Arabica","cqi q coffee sample representative","United States","la curva","NULL","coffee quality institute","meters above sea level: 2.112","antioquia","Silvia Elena Higuita","10","1 kg","AlmacafÃ©","2014","March 13th, 2015","CQI Q Coffee Sample Representative","Other","Washed / Wet","8.25","8.33","8.17","8.17","7.83","8.17","10","10","10","8.17","87.08","0","0","0","NULL","0","March 12th, 2016","AlmacafÃ©","m","2112","2112"
25,"Arabica","ji-ae ahn","Ethiopia","NULL","NULL","NULL","NULL","sidamo","NULL","100","60 kg","Specialty Coffee Institute of Asia","2013","September 3rd, 2013","Ji-Ae Ahn","NULL","Natural / Dry","8.42","8.17","7.92","8.17","8.33","8","10","10","10","8.08","87.08","0.11","0","0","Bluish-Green","1","September 3rd, 2014","Specialty Coffee Institute of Asia","m","NULL","NULL"
