"","coffeid","typeid","value"
"1",1,1,"8.67"
"2",1,2,"8.83"
"3",1,3,"8.67"
"4",1,4,"8.75"
"5",1,5,"8.5"
"6",1,6,"8.42"
"7",1,7,"10"
"8",1,8,"10"
"9",1,9,"10"
"10",1,10,"8.75"
"11",1,11,"90.58"
"12",1,12,"0.12"
"13",1,13,"0"
"14",1,14,"0"
"15",1,15,"300"
"16",1,16,"0"
"17",1,17,"1950"
"18",1,18,"2200"
"19",2,1,"8.75"
"20",2,2,"8.67"
"21",2,3,"8.5"
"22",2,4,"8.58"
"23",2,5,"8.42"
"24",2,6,"8.42"
"25",2,7,"10"
"26",2,8,"10"
"27",2,9,"10"
"28",2,10,"8.58"
"29",2,11,"89.92"
"30",2,12,"0.12"
"31",2,13,"0"
"32",2,14,"0"
"33",2,15,"300"
"34",2,16,"1"
"35",2,17,"1950"
"36",2,18,"2200"
"37",3,1,"8.42"
"38",3,2,"8.5"
"39",3,3,"8.42"
"40",3,4,"8.42"
"41",3,5,"8.33"
"42",3,6,"8.42"
"43",3,7,"10"
"44",3,8,"10"
"45",3,9,"10"
"46",3,10,"9.25"
"47",3,11,"89.75"
"48",3,12,"0"
"49",3,13,"0"
"50",3,14,"0"
"51",3,15,"5"
"52",3,16,"0"
"53",3,17,"1600"
"54",3,18,"1800"
"55",4,1,"8.17"
"56",4,2,"8.58"
"57",4,3,"8.42"
"58",4,4,"8.42"
"59",4,5,"8.5"
"60",4,6,"8.25"
"61",4,7,"10"
"62",4,8,"10"
"63",4,9,"10"
"64",4,10,"8.67"
"65",4,11,"89"
"66",4,12,"0.11"
"67",4,13,"0"
"68",4,14,"0"
"69",4,15,"320"
"70",4,16,"2"
"71",4,17,"1800"
"72",4,18,"2200"
"73",5,1,"8.25"
"74",5,2,"8.5"
"75",5,3,"8.25"
"76",5,4,"8.5"
"77",5,5,"8.42"
"78",5,6,"8.33"
"79",5,7,"10"
"80",5,8,"10"
"81",5,9,"10"
"82",5,10,"8.58"
"83",5,11,"88.83"
"84",5,12,"0.12"
"85",5,13,"0"
"86",5,14,"0"
"87",5,15,"300"
"88",5,16,"2"
"89",5,17,"1950"
"90",5,18,"2200"
"91",6,1,"8.58"
"92",6,2,"8.42"
"93",6,3,"8.42"
"94",6,4,"8.5"
"95",6,5,"8.25"
"96",6,6,"8.33"
"97",6,7,"10"
"98",6,8,"10"
"99",6,9,"10"
"100",6,10,"8.33"
"101",6,11,"88.83"
"102",6,12,"0.11"
"103",6,13,"0"
"104",6,14,"0"
"105",6,15,"100"
"106",6,16,"1"
"107",6,17,""
"108",6,18,""
"109",7,1,"8.42"
"110",7,2,"8.5"
"111",7,3,"8.33"
"112",7,4,"8.5"
"113",7,5,"8.25"
"114",7,6,"8.25"
"115",7,7,"10"
"116",7,8,"10"
"117",7,9,"10"
"118",7,10,"8.5"
"119",7,11,"88.75"
"120",7,12,"0.11"
"121",7,13,"0"
"122",7,14,"0"
"123",7,15,"100"
"124",7,16,"0"
"125",7,17,""
"126",7,18,""
"127",8,1,"8.25"
"128",8,2,"8.33"
"129",8,3,"8.5"
"130",8,4,"8.42"
"131",8,5,"8.33"
"132",8,6,"8.5"
"133",8,7,"10"
"134",8,8,"10"
"135",8,9,"9.33"
"136",8,10,"9"
"137",8,11,"88.67"
"138",8,12,"0.03"
"139",8,13,"0"
"140",8,14,"0"
"141",8,15,"300"
"142",8,16,"0"
"143",8,17,"1570"
"144",8,18,"1700"
"145",9,1,"8.67"
"146",9,2,"8.67"
"147",9,3,"8.58"
"148",9,4,"8.42"
"149",9,5,"8.33"
