"","coffeid","typeid","value"
"1",1,1,"Arabica"
"2",1,2,"metad plc"
"3",1,3,"Ethiopia"
"4",1,4,"metad plc"
"5",1,5,"metad plc"
"6",1,6,"metad agricultural developmet plc"
"7",1,7,"guji-hambela"
"8",1,8,"METAD PLC"
"9",1,9,"60 kg"
"10",1,10,"METAD Agricultural Development plc"
"11",1,11,"2014"
"12",1,12,""
"13",1,13,"Washed / Wet"
"14",1,14,"Green"
"15",1,15,"METAD Agricultural Development plc"
"16",1,16,"m"
"17",2,1,"Arabica"
"18",2,2,"metad plc"
"19",2,3,"Ethiopia"
"20",2,4,"metad plc"
"21",2,5,"metad plc"
"22",2,6,"metad agricultural developmet plc"
"23",2,7,"guji-hambela"
"24",2,8,"METAD PLC"
"25",2,9,"60 kg"
"26",2,10,"METAD Agricultural Development plc"
"27",2,11,"2014"
"28",2,12,"Other"
"29",2,13,"Washed / Wet"
"30",2,14,"Green"
"31",2,15,"METAD Agricultural Development plc"
"32",2,16,"m"
"33",3,1,"Arabica"
"34",3,2,"grounds for health admin"
"35",3,3,"Guatemala"
"36",3,4,"san marcos barrancas "
"37",3,5,"san cristobal cuch"
"38",3,6,""
"39",3,7,""
"40",3,8,""
"41",3,9,"1"
"42",3,10,"Specialty Coffee Association"
"43",3,11,""
"44",3,12,"Bourbon"
"45",3,13,""
"46",3,14,""
"47",3,15,"Specialty Coffee Association"
"48",3,16,"m"
"49",4,1,"Arabica"
"50",4,2,"yidnekachew dabessa"
"51",4,3,"Ethiopia"
"52",4,4,"yidnekachew dabessa coffee plantation"
"53",4,5,"wolensu"
"54",4,6,"yidnekachew debessa coffee plantation"
"55",4,7,"oromia"
"56",4,8,"Yidnekachew Dabessa Coffee Plantation"
"57",4,9,"60 kg"
"58",4,10,"METAD Agricultural Development plc"
"59",4,11,"2014"
"60",4,12,""
"61",4,13,"Natural / Dry"
"62",4,14,"Green"
"63",4,15,"METAD Agricultural Development plc"
"64",4,16,"m"
"65",5,1,"Arabica"
"66",5,2,"metad plc"
"67",5,3,"Ethiopia"
"68",5,4,"metad plc"
"69",5,5,"metad plc"
"70",5,6,"metad agricultural developmet plc"
"71",5,7,"guji-hambela"
"72",5,8,"METAD PLC"
"73",5,9,"60 kg"
"74",5,10,"METAD Agricultural Development plc"
"75",5,11,"2014"
"76",5,12,"Other"
"77",5,13,"Washed / Wet"
"78",5,14,"Green"
"79",5,15,"METAD Agricultural Development plc"
"80",5,16,"m"
"81",6,1,"Arabica"
"82",6,2,"ji-ae ahn"
"83",6,3,"Brazil"
"84",6,4,""
"85",6,5,""
"86",6,6,""
"87",6,7,""
"88",6,8,""
"89",6,9,"30 kg"
"90",6,10,"Specialty Coffee Institute of Asia"
"91",6,11,"2013"
"92",6,12,""
"93",6,13,"Natural / Dry"
"94",6,14,"Bluish-Green"
"95",6,15,"Specialty Coffee Institute of Asia"
"96",6,16,"m"
"97",7,1,"Arabica"
"98",7,2,"hugo valdivia"
"99",7,3,"Peru"
"100",7,4,""
"101",7,5,"hvc"
"102",7,6,"richmond investment-coffee department"
"103",7,7,""
"104",7,8,"HVC"
"105",7,9,"69 kg"
"106",7,10,"Specialty Coffee Institute of Asia"
"107",7,11,"2012"
"108",7,12,"Other"
"109",7,13,"Washed / Wet"
"110",7,14,"Bluish-Green"
"111",7,15,"Specialty Coffee Institute of Asia"
"112",7,16,"m"
"113",8,1,"Arabica"
"114",8,2,"ethiopia commodity exchange"
"115",8,3,"Ethiopia"
"116",8,4,"aolme"
"117",8,5,"c.p.w.e"
"118",8,6,""
